# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    2.493243243    4.455983930    4.455983916    3.087123816
    2.503252252    4.447021801    4.447021788    3.084387863
    2.513261261    4.438080609    4.438080596    3.081649665
    2.523270270    4.429160421    4.429160408    3.078909278
    2.533279279    4.420261303    4.420261290    3.076166756
    2.543288288    4.411383318    4.411383305    3.073422151
    2.553297297    4.402526526    4.402526513    3.070675517
    2.563306306    4.393690987    4.393690974    3.067926906
    2.573315315    4.384876756    4.384876743    3.065176372
    2.583324324    4.376083888    4.376083875    3.062423967
    2.593333333    4.367312436    4.367312423    3.059669742
    2.603342342    4.358562448    4.358562435    3.056913749
    2.613351351    4.349833974    4.349833961    3.054156040
    2.623360360    4.341127059    4.341127047    3.051396665
    2.633369369    4.332441748    4.332441736    3.048635675
    2.643378378    4.323778083    4.323778070    3.045873121
    2.653387387    4.315136103    4.315136090    3.043109052
    2.663396396    4.306515847    4.306515835    3.040343519
    2.673405405    4.297917352    4.297917340    3.037576571
    2.683414414    4.289340652    4.289340640    3.034808257
    2.693423423    4.280785780    4.280785768    3.032038626
    2.703432432    4.272252768    4.272252755    3.029267726
    2.713441441    4.263741643    4.263741631    3.026495605
    2.723450450    4.255252435    4.255252422    3.023722313
    2.733459459    4.246785168    4.246785156    3.020947895
    2.743468468    4.238339867    4.238339855    3.018172400
    2.753477477    4.229916555    4.229916543    3.015395874
    2.763486486    4.221515252    4.221515241    3.012618364
    2.773495495    4.213135979    4.213135967    3.009839917
    2.783504505    4.204778752    4.204778741    3.007060578
    2.793513514    4.196443589    4.196443577    3.004280394
    2.803522523    4.188130503    4.188130492    3.001499409
    2.813531532    4.179839509    4.179839497    2.998717670
    2.823540541    4.171570618    4.171570607    2.995935220
    2.833549550    4.163323841    4.163323829    2.993152105
    2.843558559    4.155099186    4.155099175    2.990368368
    2.853567568    4.146896662    4.146896650    2.987584053
    2.863576577    4.138716274    4.138716263    2.984799205
    2.873585586    4.130558028    4.130558016    2.982013867
    2.883594595    4.122421927    4.122421916    2.979228081
    2.893603604    4.114307974    4.114307962    2.976441890
    2.903612613    4.106216169    4.106216158    2.973655337
    2.913621622    4.098146513    4.098146502    2.970868464
    2.923630631    4.090099004    4.090098993    2.968081312
    2.933639640    4.082073640    4.082073629    2.965293924
    2.943648649    4.074070417    4.074070406    2.962506341
    2.953657658    4.066089330    4.066089319    2.959718603
    2.963666667    4.058130372    4.058130361    2.956930751
    2.973675676    4.050193538    4.050193527    2.954142825
    2.983684685    4.042278818    4.042278807    2.951354867
    2.993693694    4.034386203    4.034386192    2.948566914
    3.003702703    4.026515683    4.026515672    2.945779008
    3.013711712    4.018667246    4.018667235    2.942991186
    3.023720721    4.010840880    4.010840869    2.940203489
